reporting_org_ref,registry_id,org_type,org_name,abbreviation,usability_score,tracker_commit,tracker_spend,latest_txn_year,hq_country,CRS_codes,IATI_organisation_type,IATI_organisation_name,country
CA-CRA_ACR-817387277,mastercard-foundation,Foundation,Mastercard Foundation,, ,,,2020,CA,,Foundation,Mastercard Foundation,
ZA-CIP-2005/001486/08,,,,,,,,,,,,,
NL-KVK-34219433,max-foundation,Foundation,Max Foundation,, ,,,2020,NL,,Foundation,Max Foundation,
NL-KVK-56821743,mdf,Foundation,MDF Global,, ,,,2021,NL,,Foundation,MDF Global,
GH-RGD-CG200980721,,,,,,,,,,,,,
KR-GOV-051,,,,,,,,,,,,,
NL-KVK-41185216,ncea,Foundation,Netherlands Commission for Environmental Assessment,, ,,,2021,NL,,Foundation,Netherlands Commission for Environmental Assessment,
NL-KVK-30204842,nfp,Foundation,Netherlands Food Partnership,, ,,,2021,NL,,Foundation,Netherlands Food Partnership,
NL-KVK-27186453,nwp,Foundation,Netherlands Water Partnership,, ,,,2021,NL,,Foundation,Netherlands Water Partnership,
US-EIN-20-1173866,omidyarnetwork,Foundation,Omidyar Network Fund Inc.,, ,,,#N/A,US,,Foundation,Omidyar Network Fund Inc.,
NL-KVK-861193660,loop,Foundation,OurLoop Stitchting,, ,,,#N/A,NL,,Foundation,OurLoop Stitchting,
SK-ZRSR-31784828,pontis,Foundation,Pontis Foundation,, ,,,2016,SK,,Foundation,Pontis Foundation,
NL-KVK-09119363,practica,Foundation,PRACTICA Foundation,, ,,,2019,NL,,Foundation,PRACTICA Foundation,
CH-FDJP-CHE232974628,rmf,Foundation,Responsible Mining Foundation,, ,,,#N/A,CH,,Foundation,Responsible Mining Foundation,
BE-BCE_KBO-0662878501,rikolto,Foundation,Rikolto,, ,,,2021,BE,,Foundation,Rikolto,
NL-KVK-32102434,ruaf,Foundation,RUAF Foundation,, ,,,2019,NL,,Foundation,RUAF Foundation,
NL-KVK-40594571,simavi,Foundation,Simavi,, ,,,2021,NL,,Foundation,Simavi,
NL-KVK-41197577,sosnl,Foundation,SOS Children's Villages The Netherlands,, ,,,2021,NL,,Foundation,SOS Children's Villages The Netherlands,
GB-CHC-1087997,starsfoundation,Foundation,Stars Foundation,, ,,,2014,GB,,Foundation,Stars Foundation,
NL-KVK-41048542,agriterra,Foundation,Stichting Agriterra,, ,,,2021,NL,,Foundation,Stichting Agriterra,
NL-KVK-41208024,aidenvironment,Foundation,Stichting Aidenvironment,, ,,,2020,NL,,Foundation,Stichting Aidenvironment,
NL-KVK-41146461,deltares,Foundation,Stichting Deltares,, ,,,2020,NL,,Foundation,Stichting Deltares,
NL-KVK-61172863,dggf_financing_local_smes,Foundation,Stichting fondsbeheer DGGF lokaal MKB,, ,,,2020,NL,,Foundation,Stichting fondsbeheer DGGF lokaal MKB,
NL-KVK-41207580,hai,Foundation,Stichting Health Action International,, ,,,2020,NL,,Foundation,Stichting Health Action International,
NL-KVK-41039028,leprazending-tlm-nl,Foundation,Stichting Leprazending Nederland - The Leprosy Mission Netherlands,, ,,,2021,NL,,Foundation,Stichting Leprazending Nederland - The Leprosy Mission Netherlands,
NL-KVK-855689493,maydayrescue,Foundation,Stichting Mayday Rescue Foundation,, ,,,2017,NL,,Foundation,Stichting Mayday Rescue Foundation,
GB-COH-09288843,the_power_of_nutrition,Foundation,The Power of Nutrition,, ,,,2020,GB,,Foundation,The Power of Nutrition,
JO-MSD-2009011100178,paf_2018,Foundation,The Princess Alia Foundation,, ,,,#N/A,JO,,Foundation,The Princess Alia Foundation,
GB-CHC-1145640,qedjt,Foundation,The Queen Elizabeth Diamond Jubilee Trust,, ,,,#N/A,GB,,Foundation,The Queen Elizabeth Diamond Jubilee Trust,
US-EIN-941655673,hewlett-foundation,Foundation,The William and Flora Hewlett Foundation,, ,,,2021,US,,Foundation,The William and Flora Hewlett Foundation,
GB-CHC-1082139,trf,Foundation,Thomson Reuters Foundation,, ,,,2021,GB,,Foundation,Thomson Reuters Foundation,
NL-KVK-41201806,tni,Foundation,Transnational Institute,, ,,,2020,NL,,Foundation,Transnational Institute,
KE-RCO-201036685,uhai-eashri,Foundation,UHAI EASHRI,, ,,,2017,KE,,Foundation,UHAI EASHRI,
NL-KVK-41172933,waste,Foundation,WASTE advisers on urban environment and development,, ,,,2021,NL,,Foundation,WASTE advisers on urban environment and development,
NL-KVK-53744993,wba,Foundation,World Benchmarking Alliance Foundation,, ,,,2020,NL,,Foundation,World Benchmarking Alliance Foundation,
NL-KVK-41179943,wvnld,Foundation,World Vision Netherlands,, ,,,2021,NL,,Foundation,World Vision Netherlands,
NL-KVK-34271281,worldwaternet,Foundation,World Waternet,, ,,,2021,NL,,Foundation,World Waternet,
DK-CVR-40781218,wwfdk,Foundation,World Wide Fund for Nature Denmark,, ,,,2020,DK,,Foundation,World Wide Fund for Nature Denmark,
GB-CHC-1133342,zing,Foundation,Zing,, ,,,2015,GB,,Foundation,Zing,
46002,afdb,IFI,African Development Bank,AfDB,C2D2,,,2020,,,Multilateral,African Development Bank,
XM-DAC-2-10,be-dgd,Bilateral,Belgium - Directorate-General for Development Cooperation and Humanitarian Aid,DGD,C2D2,No,Yes,2021,BE,2*10; 2*20; 2*30; 2*31; 2*39,Government,Belgian Development Cooperation,Belgium
